日期,代码,名称,板块,连板数,涨停统计,现价,近一周%,近一月%,近半年%,近一年%,所属行业,主题材,题材共振数,PE_TTM,成交额(亿),流通市值(亿),换手率%,封单(亿),封单占流通%,首封时间,开板次数,主力净流入(亿),是否ST,消息驱动
2026-06-12,300377,赢时胜,创业板,1,1/1,14.88,11.6,-16.3,-31.8,-39.8,软件开发,华为概念,7,-481.1,12.14,102.81,12.4,0.35,0.34,10:52,2,2.71,,
2026-06-12,301176,逸豪新材,创业板,1,1/1,56.6,36.3,41.5,124.0,218.3,元件,PCB,1,-200.7,8.14,92.85,9.4,0.07,0.07,10:23,6,1.34,,
2026-06-12,301323,新莱福,创业板,1,1/1,103.78,24.7,35.4,86.8,112.6,金属新材,并购重组概念,1,73.8,7.09,70.12,10.6,0.22,0.32,10:43,2,0.96,,
2026-06-12,301348,蓝箭电子,创业板,1,1/1,30.02,22.6,8.8,47.2,63.1,半导体,电池技术,16,-189.0,5.99,46.57,13.1,1.62,3.47,09:31,0,2.22,,关于收购成都芯翼科技有限公司60%股权的公告
2026-06-12,300581,晨曦航空,创业板,1,1/1,13.16,22.8,-0.4,-21.2,-0.2,航空装备,西部大开发,18,-105.9,5.56,72.39,7.9,0.35,0.48,09:43,0,2.34,,
2026-06-12,002971,和远气体,主板,4,7/5,58.03,47.7,70.4,76.1,171.7,化学制品,电池技术,16,231.1,33.25,90.76,36.9,0.05,0.05,09:31,57,-2.56,,
2026-06-12,603065,宿迁联盛,主板,4,8/5,13.6,45.5,70.9,65.8,46.0,化学制品,化学制品,1,-373.3,1.34,56.98,2.4,2.45,4.29,09:25,0,0.32,,
2026-06-12,002203,海亮股份,主板,2,2/2,23.44,23.1,1.8,95.7,140.4,工业金属,电池技术,16,51.9,23.99,518.53,4.6,2.44,0.47,09:30,3,1.69,,
2026-06-12,001696,宗申动力,主板,2,5/4,22.84,59.7,34.2,5.4,8.7,通用设备,西部大开发,18,42.8,21.06,203.6,10.5,1.65,0.81,09:53,1,3.45,,上证早知道｜000739，回购不低于1亿元；001696，机构席位净买入2.69亿元
2026-06-12,000032,深桑达Ａ,主板,2,2/2,18.92,19.0,-1.6,-2.4,-4.0,专业工程,央国企改革,28,-131.1,19.23,215.3,9.3,0.03,0.02,13:17,29,2.02,,
2026-06-12,000510,新金路,主板,2,2/2,19.37,4.7,16.6,98.3,249.6,化学原料,西部大开发,18,-51.4,13.81,117.5,12.0,0.18,0.15,10:32,1,1.32,,
2026-06-12,601958,金钼股份,主板,2,2/2,25.52,16.2,9.2,80.1,141.7,小金属,央国企改革,28,24.4,4.16,823.43,0.5,8.56,1.04,09:25,0,1.55,,
2026-06-12,001257,盛龙股份,主板,2,2/2,27.74,14.9,3.0,,,小金属,央国企改革,28,56.7,3.97,37.99,10.4,2.87,7.55,09:30,0,1.37,,
2026-06-12,600067,冠城新材,主板,2,2/2,3.48,15.6,-2.0,-17.9,31.1,电网设备,电池技术,16,251.0,3.81,48.43,8.1,0.19,0.39,10:22,0,0.57,,
2026-06-12,603014,威高血净,主板,2,2/2,36.53,17.1,3.5,-11.3,0.4,医疗器械,医疗器械概念,1,31.3,3.24,37.07,8.9,0.21,0.56,10:35,3,0.5,,
2026-06-12,603993,洛阳钼业,主板,1,1/1,19.11,5.1,-7.7,10.5,161.7,工业金属,小金属概念,8,16.9,85.1,3336.77,2.6,1.4,0.04,10:41,2,16.86,,
2026-06-12,600601,方正科技,主板,1,1/1,12.89,3.8,-9.2,3.5,163.1,元件,央国企改革,28,88.1,46.52,537.55,8.9,0.75,0.14,13:16,9,8.57,,
2026-06-12,000630,铜陵有色,主板,1,1/1,7.1,10.2,2.5,31.5,128.3,工业金属,央国企改革,28,36.2,43.56,791.15,5.6,1.69,0.21,10:33,0,14.28,,
2026-06-12,002812,恩捷股份,主板,1,1/1,67.54,6.7,-17.1,22.0,142.5,电池,西部大开发,18,176.0,31.03,555.62,5.8,0.14,0.03,13:12,4,6.4,,恩捷股份：锂电池隔离膜项目获备案 总投资40亿元
2026-06-12,000547,航天发展,主板,1,1/1,20.65,0.9,-26.1,-3.1,184.0,军工电子,央国企改革,28,-26.7,18.8,328.15,5.8,2.09,0.64,09:37,1,8.35,,
2026-06-12,000737,北方铜业,主板,1,1/1,14.08,1.6,-11.7,-3.8,51.1,工业金属,央国企改革,28,25.9,14.76,268.16,5.6,0.3,0.11,10:47,1,3.33,,
2026-06-12,601609,金田股份,主板,1,1/1,12.55,0.4,0.2,21.6,85.5,工业金属,新能源车,11,28.1,14.54,216.94,6.8,0.36,0.17,10:13,3,3.15,,
2026-06-12,600497,驰宏锌锗,主板,1,1/1,9.28,3.8,-12.5,40.4,82.6,工业金属,央国企改革,28,38.9,12.7,467.75,2.7,1.01,0.21,09:40,1,4.46,,
2026-06-12,601233,桐昆股份,主板,1,1/1,22.3,6.1,3.7,56.5,109.6,炼化及贸,互联网金融,3,16.0,11.91,529.55,2.3,0.05,0.01,10:49,1,0.79,,
2026-06-12,600961,株冶集团,主板,1,1/1,25.41,4.1,-13.5,61.7,127.7,工业金属,央国企改革,28,13.7,11.57,191.04,6.3,0.91,0.48,10:51,0,2.15,,
2026-06-12,600906,财达证券,主板,1,1/1,6.99,1.7,5.7,1.7,6.9,证券Ⅱ,央国企改革,28,25.7,11.12,148.48,7.7,0.03,0.02,13:00,22,1.06,,
2026-06-12,002085,万丰奥威,主板,1,1/1,13.59,17.2,-3.1,-13.7,-13.5,汽车零部,新能源车,11,30.2,10.82,288.56,3.8,0.67,0.23,09:58,1,3.55,,关于转让全资子公司股权进展暨完成工商变更登记的公告
2026-06-12,601696,中银证券,主板,1,1/1,11.54,6.6,-9.0,-19.2,13.6,证券Ⅱ,互联网金融,3,28.5,10.8,320.58,3.5,0.85,0.27,10:49,3,2.54,,
2026-06-12,600531,豫光金铅,主板,1,1/1,13.09,4.7,-21.0,19.9,71.0,工业金属,央国企改革,28,17.5,9.74,158.29,6.3,0.2,0.13,10:42,0,1.89,,
2026-06-12,002969,嘉美包装,主板,1,1/1,16.39,-2.4,-25.5,259.4,349.0,包装印刷,电商概念,5,127.7,9.49,179.1,5.4,0.7,0.39,10:04,3,2.07,,
2026-06-12,001330,博纳影业,主板,1,1/1,7.07,-9.0,-23.7,-47.0,46.1,影视院线,西部大开发,18,-17.6,9.36,82.21,11.7,0.96,1.17,10:07,2,1.97,,
2026-06-12,000969,安泰科技,主板,1,1/1,24.46,10.5,7.6,17.4,88.3,金属新材,央国企改革,28,67.3,9.33,254.71,3.7,2.31,0.91,09:31,1,4.05,,
2026-06-12,603738,泰晶科技,主板,1,1/1,51.74,16.3,-4.2,220.4,272.5,元件,机器人概念,7,299.9,8.88,199.66,4.5,4.52,2.27,09:31,0,3.18,,
2026-06-12,002457,青龙管业,主板,1,1/1,12.95,6.1,11.7,22.5,9.1,装修建材,西部大开发,18,33.6,6.45,43.16,15.1,0.39,0.91,09:32,5,1.85,,关于收到中标通知书的公告
2026-06-12,000768,中航西飞,主板,1,1/1,22.86,8.7,-9.5,-5.2,-9.9,航空装备,央国企改革,28,57.3,6.37,634.69,1.0,3.3,0.52,09:25,0,2.46,,
2026-06-12,600862,中航高科,主板,1,1/1,18.87,5.8,-10.5,-12.4,-17.3,航空装备,央国企改革,28,28.4,6.2,262.87,2.4,0.8,0.3,09:55,0,1.84,,
2026-06-12,002733,雄韬股份,主板,1,1/1,34.53,1.7,24.0,71.8,117.8,电池,电池技术,16,166.1,6.13,127.37,4.9,1.42,1.12,09:36,1,1.85,,
2026-06-12,001359,平安电工,主板,1,1/1,107.14,15.7,-6.3,71.1,272.4,塑料,电池技术,16,81.3,6.08,49.69,12.4,0.08,0.17,09:47,17,0.93,,
