日期,代码,名称,板块,连板数,涨停统计,现价,近一周%,近一月%,近半年%,近一年%,所属行业,主题材,题材共振数,全部题材,PE_TTM,成交额(亿),流通市值(亿),换手率%,封单(亿),封单占流通%,首封时间,开板次数,主力净流入(亿),是否ST,消息驱动
2026-08-11,300862,蓝盾光电,创业板,2,2/2,27.37,44.0,45.2,16.6,2.3,通用设备,华为概念,7,华为概念|节能环保|智慧城市,-53.1,0.17,41.46,0.4,7.64,18.44,09:25,0,0.08,,蓝盾光电：拟收购真空镀膜设备商苏州岚创科技，标的2026年上半年净利1.02亿元
2026-08-11,301520,万邦医药,创业板,1,1/1,70.39,53.2,55.8,120.5,107.4,医疗服务,创新药,4,创新医疗服务|创新药|CRO,269.6,14.04,23.02,64.8,0.19,0.83,11:02,6,1.58,,
2026-08-11,301550,斯菱智驱,创业板,1,1/1,87.42,23.8,-3.4,-26.8,83.0,汽车零部,人形机器人,3,深成500|机器人概念|人形机器人,177.3,11.73,179.43,7.1,0.75,0.42,13:20,0,2.3,,
2026-08-11,301529,福赛科技,创业板,1,1/1,96.16,26.5,-13.9,-2.4,88.0,汽车零部,新能源车,8,新能源车|通信技术|5G概念,84.0,5.58,61.13,9.9,0.31,0.51,13:34,0,0.84,,
2026-08-11,300426,华智数媒,创业板,1,1/1,7.8,30.7,39.5,-25.1,-20.0,影视院线,央国企改革,17,央国企改革|破增发价股|文娱消费,-12.1,4.21,31.2,14.3,0.92,2.95,09:56,0,0.47,,华智数媒半年报业绩超预期，曙光初现、向上而行
2026-08-11,600721,百花医药,主板,6,6/6,12.75,61.0,87.5,37.2,57.8,医疗服务,央国企改革,17,央国企改革|西部大开发|创新药,184.2,8.52,49.03,17.4,0.24,0.48,09:25,1,0.69,,
2026-08-11,600272,开开实业,主板,4,4/4,15.7,45.5,45.5,12.5,11.5,医药商业,央国企改革,17,央国企改革|长江三角|电商概念,179.2,7.52,25.12,30.3,0.01,0.04,09:31,21,-0.37,,
2026-08-11,600664,哈药股份,主板,3,3/3,8.27,28.2,145.4,134.3,107.8,化学制药,破增发价股,10,破增发价股|中药概念|创新药,67.2,54.95,208.28,27.0,0.08,0.04,09:47,19,-1.94,,
2026-08-11,603758,秦安股份,主板,3,3/3,12.68,35.3,31.9,-15.0,-13.0,汽车零部,新能源车,8,西部大开发|成渝特区|新能源车,39.2,0.57,54.92,1.0,0.09,0.16,09:25,0,0.07,,
2026-08-11,001258,立新能源,主板,2,2/2,15.93,18.9,138.5,110.7,116.4,电力,央国企改革,17,央国企改革|西部大开发|光伏概念,99.7,36.29,148.68,26.1,0.07,0.04,10:09,1,0.98,,新疆立新能源股份有限公司2023年度向特定对象发行股票并在主板上市募集说明书(注册稿)
2026-08-11,000859,国风新材,主板,2,2/2,10.48,25.4,21.6,-10.1,49.9,塑料,央国企改革,17,央国企改革|新能源车|MLCC,-134.3,12.8,93.89,14.0,0.82,0.87,09:44,1,1.04,,
2026-08-11,605179,一鸣食品,主板,2,11/7,27.63,27.4,111.7,36.0,37.7,饮料乳品,电商概念,4,趋势股|乡村振兴|电商概念,206.3,11.16,110.8,10.4,0.02,0.02,09:42,5,-0.01,,
2026-08-11,600833,第一医药,主板,2,2/2,12.11,22.8,25.9,-9.2,-7.6,医药商业,央国企改革,17,央国企改革|长江三角|内贸流通,35.4,4.46,27.02,17.0,0.01,0.04,10:00,4,0.5,,
2026-08-11,000802,北京文化,主板,2,2/2,5.17,22.2,35.3,-1.7,-3.7,影视院线,破增发价股,10,破增发价股|影视概念|文娱消费,-17.6,2.54,36.99,6.9,2.54,6.88,09:25,0,0.15,,
2026-08-11,605286,同力天启,主板,2,2/2,28.17,20.7,12.5,-27.4,-28.4,专用设备,一带一路,5,一带一路|人工智能|数据中心,35.0,2.42,47.33,5.4,0.02,0.05,10:03,0,0.41,,
2026-08-11,002248,华东数控,主板,2,2/2,11.06,25.4,25.1,-10.5,-1.6,通用设备,铁路基建,1,铁路基建|工业母机|高市净率,100.3,2.4,34.01,7.1,1.37,4.04,09:30,0,0.96,,
2026-08-11,002329,皇氏集团,主板,2,2/2,3.82,15.4,17.5,-1.5,-0.8,饮料乳品,西部大开发,7,西部大开发|光伏概念|一带一路,-7.1,1.96,24.89,7.9,0.52,2.08,09:30,1,0.04,,
2026-08-11,603797,联泰环保,主板,2,2/2,5.05,24.7,29.8,-0.8,7.0,环境治理,破增发价股,10,破增发价股|节能环保|新型城镇化,23.1,1.57,29.12,5.5,0.01,0.03,09:33,2,0.24,,
2026-08-11,603188,亚邦股份,主板,2,2/2,4.88,21.1,25.4,-18.8,5.9,化学制品,央国企改革,17,央国企改革|高成长股,-62.1,1.07,27.82,3.9,0.02,0.05,09:30,0,0.12,,
2026-08-11,600683,京投发展,主板,2,2/2,10.68,29.3,3.2,59.9,149.0,房地产开,央国企改革,17,央国企改革|长江三角|养老概念,-6.2,1.03,79.12,1.3,0.06,0.08,09:25,0,-0.06,,京投发展600683.SH)：2026年中报净利润为-3.13亿元，同比亏损扩大
2026-08-11,600667,太极实业,主板,1,1/1,21.2,23.6,-16.1,120.9,217.6,工程咨询,央国企改革,17,央国企改革|光伏概念|长江三角,96.5,64.67,443.41,15.3,0.83,0.19,10:36,0,13.57,,
2026-08-11,603823,百合花,主板,1,7/4,75.22,36.2,13.7,325.9,481.7,化学制品,锂电池概念,3,电池技术|锂电池概念|光刻胶,190.9,18.78,313.19,6.3,0.05,0.02,13:51,0,0.92,,
2026-08-11,002859,洁美科技,主板,1,1/1,81.32,35.5,3.7,104.1,207.5,其他电子,华为概念,7,华为概念|锂电池概念|5G概念,157.8,15.21,348.31,4.5,1.27,0.36,09:48,1,2.44,,中信证券股份有限公司关于不存在《上市公司监管指引第7号——上市公司重大资产重组相关股票异常交易监管》第十二条规定的不得参与任何上市公司重大资产重组情形的说明
2026-08-11,000779,甘咨询,主板,1,1/1,12.73,-6.6,20.1,38.4,31.8,工程咨询,央国企改革,17,央国企改革|西部大开发|趋势股,38.9,14.61,59.17,28.9,0.25,0.42,10:11,0,-0.11,,
2026-08-11,603087,甘李药业,主板,1,1/1,74.47,6.4,12.0,13.6,21.6,生物制品,创新药,4,医疗器械概念|医药医疗风格|创新药,43.5,12.27,417.89,3.0,0.15,0.04,09:33,0,2.39,,关于与Menarini公司签署博凡格鲁肽项目授权许可协议的公告
2026-08-11,603179,新泉股份,主板,1,1/1,41.66,5.8,-10.5,-31.9,26.5,汽车零部,新能源车,8,新能源车|特斯拉概念,36.9,12.22,297.54,4.3,0.03,0.01,13:13,1,2.19,,
2026-08-11,600126,杭钢股份,主板,1,1/1,7.37,10.3,23.7,-18.3,-16.0,普钢,央国企改革,17,央国企改革|长江三角|数据中心,362.1,11.16,248.9,4.6,0.07,0.03,09:50,0,2.92,,
2026-08-11,600863,华能蒙电,主板,1,1/1,5.18,6.8,13.8,12.4,34.9,电力,央国企改革,17,央国企改革|西部大开发|光伏概念,17.9,11.02,338.09,3.3,0.06,0.02,09:57,0,4.18,,
2026-08-11,603137,恒尚节能,主板,1,3/2,30.34,16.6,13.4,106.1,83.9,装修装饰,节能环保,3,节能环保|新型城镇化|装配建筑,-119.7,9.85,55.5,18.6,0.05,0.1,10:20,2,0.82,,
2026-08-11,600611,大众交通,主板,1,1/1,5.02,17.8,35.3,-14.2,-19.4,铁路公路,长江三角,7,长江三角|电商概念|参股银行,-205.5,9.82,78.48,12.8,0.04,0.05,09:39,4,2.47,,
2026-08-11,002229,鸿博股份,主板,1,1/1,11.74,6.1,17.2,-28.6,-38.0,IT服务Ⅱ,人工智能,4,人工智能|参股银行|2026中报首亏,-22.2,8.4,57.9,14.8,1.36,2.36,09:50,1,2.71,,
